firstName,lastName,role,bannerID
Elijah,Anderson,Admin,987654321
Ethan,Jackson,Admin,945678321
Alexander,Wright,Admin,923456789
Olivia,Hernandez,Admin,912345678
George,Floyd,Librarian,889909747
Sophia,Gonzalez,Librarian,875432198
William,Walker,Librarian,854321987
Ella,Scott,Librarian,845678912
Liam,Martinez,Librarian,823456789
Abigail,King,Librarian,812345679
Isabella,Thomas,Student,798901234
Henry,Allen,Student,778901234
Ava,Wilson,Student,772345678
Daniel,Hill,Student,765432199
Noah,Lopez,Student,765432198
Lucas,Moore,Student,742567890
Mia,Taylor,Member,689012345
Harper,Robinson,Member,678901234
Charlotte,White,Member,645678912
Amelia,Clark,Member,634567891
James,Harris,Member,612345678
